3,22.46,40.73,331,273,518,572,566,700,629,719
3.1,22.46,40.73,331,274,518,571,566,700,630,719
3.2,22.46,40.73,333,273,518,571,566,701,630,719
3.3,22.46,40.73,331,273,518,571,565,700,630,719
3.4,22.46,40.73,331,274,517,571,566,701,630,719
3.5,22.46,40.73,332,274,519,571,566,700,630,719
3.6,22.46,40.73,331,274,518,571,566,700,630,719
3.7,22.46,40.73,331,274,518,572,566,700,630,718
3.8,22.46,40.73,331,274,518,571,565,700,630,719
3.9,22.46,40.73,331,274,518,571,566,701,630,719
4,22.46,40.73,333,273,518,571,565,701,629,719
4.1,22.46,40.73,332,274,518,571,566,701,629,718
4.2,22.44,40.73,333,274,519,572,566,701,630,719
4.3,22.44,40.73,331,273,518,572,565,700,629,719
4.4,22.44,40.73,331,273,518,572,566,701,629,719
4.5,22.44,40.73,333,273,518,572,565,700,630,720
4.6,22.44,40.73,331,274,518,571,566,701,630,719
4.7,22.44,40.73,331,273,518,572,565,701,630,719
4.81,22.44,40.73,331,273,518,571,566,700,630,719
4.89,22.44,40.73,331,273,518,571,565,700,630,719
5.01,22.44,40.73,332,273,518,571,566,700,630,719
5.09,22.44,40.73,332,274,518,571,566,700,630,719
5.21,22.44,40.7,331,273,518,571,566,701,629,719
5.31,22.44,40.7,331,274,518,571,565,701,630,719
5.41,22.44,40.7,331,274,518,571,566,700,630,719
5.49,22.44,40.7,334,274,518,571,566,701,630,720
5.61,22.44,40.7,331,274,518,571,566,701,630,719
5.7,22.44,40.7,333,274,518,571,566,701,630,719
5.8,22.44,40.7,331,274,518,571,566,700,630,719
5.91,22.44,40.7,331,274,518,571,566,700,630,719
6,22.44,40.7,332,274,518,571,566,700,630,720
6.11,22.44,40.7,331,274,518,571,566,700,630,719
6.21,22.46,40.7,331,273,518,571,566,700,630,720
6.31,22.46,40.7,331,274,518,571,566,700,630,719
6.41,22.46,40.7,331,274,518,571,566,700,630,719
6.51,22.46,40.7,333,273,519,571,566,701,630,719
6.61,22.46,40.7,331,274,518,571,566,700,631,720
6.71,22.46,40.7,331,273,518,571,566,701,630,720
6.81,22.46,40.7,331,274,518,570,566,701,630,720
6.91,22.46,40.7,331,274,519,571,566,701,631,719
7.01,22.46,40.7,331,274,519,571,566,701,630,720
7.11,22.46,40.7,331,273,518,571,566,701,630,719
7.21,22.46,40.7,331,273,518,571,566,701,630,720
7.31,22.46,40.7,331,273,518,571,566,701,631,719
7.41,22.46,40.7,331,273,519,571,566,701,631,720
7.51,22.46,40.7,331,274,518,571,567,701,631,720
7.61,22.46,40.7,332,273,518,571,566,700,630,720
7.71,22.46,40.7,333,273,518,571,566,701,630,720
7.8,22.46,40.7,331,273,518,571,566,701,631,720
7.9,22.46,40.7,331,274,519,571,566,700,630,720
7.99,22.46,40.7,331,274,518,571,566,700,631,720
8.1,22.46,40.7,331,274,518,571,566,701,631,720
8.19,22.46,40.7,331,273,519,571,566,701,631,720
8.31,22.46,40.73,332,273,519,571,566,701,631,720
8.4,22.46,40.73,332,274,519,571,566,701,631,720
8.49,22.46,40.73,331,273,518,571,567,700,631,720
8.59,22.46,40.73,331,273,518,571,566,701,631,720
8.69,22.46,40.73,332,274,518,571,567,701,631,720
8.8,22.46,40.73,332,273,518,571,567,701,631,721
8.9,22.46,40.73,331,274,519,571,566,701,631,720
9,22.46,40.73,334,274,519,571,566,701,631,721
9.1,22.46,40.73,331,273,518,571,566,701,631,721
9.2,22.46,40.73,331,274,518,571,567,701,631,720
9.3,22.46,40.7,332,274,519,571,566,701,631,721
9.4,22.46,40.7,331,274,519,571,566,701,632,721
9.5,22.46,40.7,332,273,519,571,566,701,631,721
9.6,22.46,40.7,331,274,519,571,567,701,631,721
9.7,22.46,40.7,331,274,518,571,567,701,631,720
9.8,22.46,40.7,332,274,518,572,567,701,632,721
9.9,22.46,40.7,332,273,519,571,566,701,632,721
10,22.46,40.7,331,273,518,571,567,701,631,721
10.1,22.46,40.7,333,273,518,571,567,701,631,721
10.2,22.46,40.7,332,273,518,571,567,701,631,721
10.3,22.46,40.7,334,273,519,571,567,701,631,721
10.4,22.46,40.7,332,273,518,572,567,701,631,721
10.5,22.46,40.7,331,273,518,571,567,701,632,721
10.6,22.46,40.7,331,273,518,572,567,701,632,721
10.7,22.46,40.7,333,274,519,572,567,701,632,722
10.8,22.46,40.7,331,273,519,572,567,702,632,721
10.9,22.46,40.7,331,273,519,571,567,701,632,721
11,22.46,40.7,331,274,518,572,567,701,632,722
11.1,22.46,40.7,332,273,519,572,567,701,632,722
11.2,22.46,40.7,332,273,518,572,567,701,632,722
11.3,22.45,40.7,332,273,519,572,567,701,632,722
11.4,22.45,40.7,332,273,520,572,567,701,632,722
11.5,22.45,40.7,331,273,519,572,567,702,632,722
11.6,22.45,40.7,332,273,519,571,567,702,632,722
11.71,22.45,40.7,332,274,519,572,567,702,632,721
11.81,22.45,40.7,332,274,519,572,567,701,632,723
11.91,22.45,40.7,333,274,519,572,567,702,633,722
12.01,22.45,40.7,332,273,519,572,568,701,632,722
12.11,22.45,40.7,332,273,519,572,567,702,632,722
