1502,2215,2153
1667,2072,2047
1611,1957,1906
1601,1939,1831
1643,1965,1879
1604,1959,1921
1640,1829,1940
1607,1910,1910
1546,2045,1910
1529,2049,1972
1637,1978,1945
1596,2046,1866
1590,2006,1978
1601,1966,1957
1542,2003,1959
1598,2027,1941
1511,2258,1983
1555,1980,2023
1508,2468,1934
1580,1697,2005
1627,2073,1992
1592,2130,2063
1634,2088,1991
1638,2102,1916
1593,2123,1948
1542,2133,2034
1601,2015,2042
1613,1938,1936
1644,1974,2000
1642,1933,2046
1605,1925,2011
1586,1998,2066
1577,2032,2108
1598,1980,2066
1561,1942,2092
1628,1935,2142
1694,1965,2052
1627,1922,2081
1598,1950,2117
1612,1952,2075
1630,1958,2024
1609,1973,2005
1600,1983,2014
1608,1969,2024
1612,1957,2019
1605,1943,2018
1640,1917,2037
1610,1949,2077
1633,1930,2076
1573,1868,2058
1568,1944,1959
1576,2217,2059
1599,2045,2154
1620,1981,2168
1654,2069,2090
1637,2019,2160
1603,1992,2108
1605,2008,2075
1620,2001,2037
1616,2016,2052
1611,2019,2149
1597,1999,2130
1587,1999,2051
1566,1953,1993
1497,1966,2005
1455,2072,2105
1499,2090,2172
1556,2029,2085
1567,1963,2087
1568,1999,2134
1533,2049,2034
1519,2005,2062
1586,2089,2034
1618,2045,2002
1630,1974,2067
1646,2030,2129
1638,2077,2075
1595,2105,2094
1625,2117,2124
1645,2049,2086
1673,2067,2192
1607,2099,2073
1609,2099,2060
1613,2173,2108
1670,2147,2079
1663,2014,2171
1635,2120,2209
1649,2123,2034
1726,2203,2005
1778,2143,1946
1718,2102,2012
1724,2101,2309
1630,2359,1947
1664,2241,2064
1706,2277,1986
1691,2206,1994
1682,2172,2019
1690,2203,1986
1735,2343,2002
1665,2225,1897
1643,2243,1976
1624,2231,1969
1641,2254,1993
1681,2243,1949
1651,2188,1951
1632,2226,1956
1632,2227,1990
1648,2226,1953
1643,2242,1955
1638,2284,1966
1586,2279,1882
1578,2309,1748
1559,2263,1978
1635,2300,2010
1671,2221,1918
1687,2237,1771
1704,2222,1758
1757,2251,1849
1806,2220,1794
1814,2189,1827
1839,2139,1882
1844,2134,1929
1929,2409,2739
1806,2043,1799
1782,2541,2169
1775,2184,1935
1855,2142,1835
1893,2221,1756
1876,2244,1747
1950,2319,1671
1811,2259,1713
1876,2298,1680
1889,2297,1644
1883,2295,1717
1902,2284,1773
1937,2275,1780
1978,2290,1806
2026,2295,1821
2066,2307,1828
2106,2322,1826
2123,2323,1815
2052,2291,1851
2006,2291,1840
2028,2332,1749
2034,2347,1709
1985,2302,1755
1997,2323,1735
2069,2334,1721
2081,2327,1775
2105,2294,1825
2131,2267,1858
2098,2254,1879
2127,2277,1830
2175,2267,1800
2029,2174,1743
2191,2211,1820
2182,2288,1802
2139,2283,1824
2151,2329,1898
2168,2339,2014
2156,2375,2053
2189,2348,1966
2238,2314,1917
2183,2316,1940
2100,2323,1973
1985,2367,1966
2001,2228,1669
2061,2233,1707
2102,2293,1915
2085,2351,2013
2224,2324,1999
2227,2313,2012
2227,2303,2020
2195,2282,2108
2209,2315,2050
2092,2147,2033
2185,2186,2155
2275,2355,2239
2289,2385,2032
2356,2325,1991
2190,2262,1912
