1895,2390,2024
1889,2389,2022
1886,2383,2027
1888,2382,2028
1889,2385,2027
1892,2386,2023
1893,2381,2020
1897,2388,2030
1893,2384,2027
1894,2387,2030
1892,2386,2023
1901,2380,2028
1896,2387,2025
1899,2388,2028
1894,2382,2027
1889,2385,2026
1895,2385,2027
1897,2385,2024
1895,2384,2031
1895,2392,2025
1895,2382,2028
1896,2387,2021
1901,2383,2031
1901,2387,2023
1895,2391,2028
1896,2387,2020
1895,2382,2030
1898,2386,2026
1894,2383,2023
1895,2385,2029
1891,2387,2025
1897,2385,2029
1894,2383,2025
1894,2382,2025
1887,2385,2031
1894,2389,2025
1895,2385,2031
1896,2389,2028
1897,2387,2031
1891,2387,2024
1897,2383,2024
1898,2390,2031
1900,2383,2024
1893,2381,2025
1896,2384,2028
1895,2387,2026
1897,2385,2025
1893,2386,2026
1896,2386,2029
1892,2386,2020
1893,2384,2031
1896,2387,2025
1894,2383,2032
1888,2389,2024
1891,2387,2028
1894,2388,2021
1893,2385,2031
1898,2384,2029
1895,2386,2024
1895,2381,2031
1898,2382,2028
1899,2386,2026
1894,2388,2023
1897,2385,2023
1891,2382,2031
1895,2388,2021
1889,2382,2025
1898,2385,2021
1897,2389,2030
1891,2388,2024
1894,2390,2026
1898,2386,2025
1897,2381,2028
1899,2386,2024
1897,2382,2024
1901,2385,2030
1893,2385,2025
1899,2384,2026
1895,2390,2023
1888,2385,2029
1892,2385,2029
1895,2384,2021
1895,2385,2033
1898,2386,2024
1891,2383,2028
1904,2381,2023
1897,2385,2025
1896,2384,2031
1897,2385,2029
1896,2387,2022
1897,2383,2028
1892,2385,2022
1893,2384,2028
1899,2387,2031
1898,2383,2028
1892,2384,2033
1898,2385,2022
1895,2388,2025
1889,2387,2027
1895,2387,2024
1895,2386,2026
1896,2380,2023
1904,2383,2024
1899,2385,2026
1891,2386,2029
1898,2386,2026
1900,2385,2027
1894,2382,2028
1893,2384,2029
1897,2388,2027
1893,2383,2025
1894,2383,2028
1893,2387,2028
1893,2384,2031
1894,2382,2033
1893,2387,2030
1901,2384,2027
1899,2381,2027
1896,2386,2028
1896,2386,2029
1901,2385,2029
1903,2389,2021
1904,2387,2029
1891,2378,2030
1900,2384,2032
1896,2384,2033
1901,2386,2034
1898,2387,2027
1895,2386,2028
1897,2383,2029
1902,2385,2024
1892,2388,2033
1898,2385,2029
1897,2385,2026
1895,2387,2028
1899,2382,2028
1897,2383,2031
1896,2387,2026
1895,2389,2026
1897,2391,2027
1894,2384,2024
1896,2386,2026
1894,2385,2029
1896,2387,2029
1895,2381,2033
1894,2391,2031
1895,2388,2031
1898,2389,2027
1896,2385,2030
1893,2389,2026
1895,2386,2023
1895,2387,2025
1897,2381,2030
1896,2391,2034
1901,2387,2026
1894,2386,2023
1895,2387,2026
1895,2382,2025
1892,2381,2023
1897,2385,2028
1894,2387,2023
1899,2382,2027
1899,2386,2024
1895,2387,2028
1897,2385,2025
1897,2391,2033
1894,2388,2026
1897,2389,2023
1888,2385,2024
1890,2386,2023
1894,2385,2023
1895,2385,2025
1893,2381,2024
1892,2385,2024
1890,2386,2029
1891,2387,2017
1891,2382,2026
1893,2382,2024
1897,2388,2029
1899,2386,2028
1896,2385,2025
1891,2383,2026
1893,2382,2031
1892,2387,2026
1892,2390,2022
1896,2387,2031
1896,2386,2026
1893,2388,2030
1893,2383,2025
1895,2386,2025
1901,2385,2027
1897,2386,2027
1894,2391,2025
1895,2387,2024
1897,2388,2022
1894,2383,2026
1896,2390,2023
1894,2386,2025
1896,2385,2023
1895,2383,2026
1895,2386,2027
1892,2389,2023
1896,2384,2023
1893,2387,2022
1891,2386,2024
1894,2382,2024
